product_id,product_name,product_brand,category,price,rating,rating_count,product_link,smart_feature,screen_size_inch
5b4b081b,"LG 75"" 4K Ultra HD TV",LG,TV,836.7,4.5,4835,https://www.ebay.com/itm/5b4b081b,No,75
d4939988,"Panasonic 50"" 4K Ultra HD TV",Panasonic,TV,1257.38,3.6,3745,https://www.ebay.com/itm/d4939988,Yes,50
bd4db517,"Vizio 40"" 4K Ultra HD TV",Vizio,TV,1109.42,4.7,940,https://www.ebay.com/itm/bd4db517,Yes,40
dc533afb,"Panasonic 43"" 4K Ultra HD TV",Panasonic,TV,537.02,3.1,1191,https://www.ebay.com/itm/dc533afb,No,43
49708aec,"Sharp 60"" 4K Ultra HD TV",Sharp,TV,1038.74,3.6,4785,https://www.ebay.com/itm/49708aec,Yes,60
bc06017b,"Hisense 58"" 4K Ultra HD TV",Hisense,TV,291.42,2.8,758,https://www.ebay.com/itm/bc06017b,No,58
7b8c391b,"Sony 32"" 4K Ultra HD TV",Sony,TV,1248.66,4.5,748,https://www.ebay.com/itm/7b8c391b,Yes,32
d1b8ec2e,"Sharp 85"" 4K Ultra HD TV",Sharp,TV,1322.45,4.8,3434,https://www.ebay.com/itm/d1b8ec2e,No,85
a0620965,"Hisense 60"" 4K Ultra HD TV",Hisense,TV,1094.98,3.6,1748,https://www.ebay.com/itm/a0620965,No,60
187c2889,"Vizio 60"" 4K Ultra HD TV",Vizio,TV,1479.17,4,790,https://www.ebay.com/itm/187c2889,Yes,60
f908337c,"Hisense 43"" 4K Ultra HD TV",Hisense,TV,652.31,4.3,3451,https://www.ebay.com/itm/f908337c,No,43
786b12f0,"Sony 70"" 4K Ultra HD TV",Sony,TV,1846.85,2.5,1012,https://www.ebay.com/itm/786b12f0,No,70
3624f5a2,"LG 55"" 4K Ultra HD TV",LG,TV,1123.94,4.2,1870,https://www.ebay.com/itm/3624f5a2,No,55
8899c074,"LG 58"" 4K Ultra HD TV",LG,TV,420.53,3.3,844,https://www.ebay.com/itm/8899c074,No,58
a591f53a,"Vizio 60"" 4K Ultra HD TV",Vizio,TV,210.19,3.1,1788,https://www.ebay.com/itm/a591f53a,No,60
649d7d67,"Samsung 65"" 4K Ultra HD TV",Samsung,TV,598.12,4.9,3890,https://www.ebay.com/itm/649d7d67,Yes,65
ceed7365,"Hisense 43"" 4K Ultra HD TV",Hisense,TV,816.89,3.6,3152,https://www.ebay.com/itm/ceed7365,Yes,43
7d912078,"LG 75"" 4K Ultra HD TV",LG,TV,301.79,4.6,1524,https://www.ebay.com/itm/7d912078,No,75
2fabfc0b,"Hisense 43"" 4K Ultra HD TV",Hisense,TV,1053.67,4.4,3220,https://www.ebay.com/itm/2fabfc0b,Yes,43
b39c4b8d,"Sharp 58"" 4K Ultra HD TV",Sharp,TV,1441.5,4.3,1987,https://www.ebay.com/itm/b39c4b8d,No,58
13f7b319,"LG 32"" 4K Ultra HD TV",LG,TV,1238.99,3.4,2568,https://www.ebay.com/itm/13f7b319,No,32
77ad00f1,"Panasonic 43"" 4K Ultra HD TV",Panasonic,TV,1252.06,4.8,4422,https://www.ebay.com/itm/77ad00f1,No,43
35cf386a,"Hisense 50"" 4K Ultra HD TV",Hisense,TV,1238.32,2.5,1202,https://www.ebay.com/itm/35cf386a,No,50
2c7a66e1,"Hisense 70"" 4K Ultra HD TV",Hisense,TV,906.89,4.4,1796,https://www.ebay.com/itm/2c7a66e1,Yes,70
0ddd9d28,"TCL 85"" 4K Ultra HD TV",TCL,TV,331.16,4.5,3063,https://www.ebay.com/itm/0ddd9d28,No,85
80a9615b,"Samsung 85"" 4K Ultra HD TV",Samsung,TV,375.58,4.8,2079,https://www.ebay.com/itm/80a9615b,No,85
fa5bbb16,"Sharp 75"" 4K Ultra HD TV",Sharp,TV,446.66,2.8,2315,https://www.ebay.com/itm/fa5bbb16,No,75
