product_id,product_name,product_brand,category,price,rating,rating_count,product_link,smart_feature,screen_size_inch
TVPROD0000,"Vizio 60"" 8K UHD Smart LED TV with Roku",Vizio,TV,824.14,4.6,4044,https://www.amazon.com/dp/TVPROD0000,No,60
TVPROD0001,"Insignia 32"" HD Smart LED TV with WebOS",Insignia,TV,662.39,4.6,478,https://www.amazon.com/dp/TVPROD0001,Yes,32
TVPROD0002,"TCL 28"" 8K UHD Smart LED TV with Fire TV",TCL,TV,355.67,4.5,64,https://www.amazon.com/dp/TVPROD0002,No,28
TVPROD0003,"Sony 24"" 8K UHD Smart LED TV with Tizen",Sony,TV,184.86,4.6,1267,https://www.amazon.com/dp/TVPROD0003,Yes,24
TVPROD0004,"Panasonic 28"" HD Smart LED TV with Roku",Panasonic,TV,499.34,4.7,65,https://www.amazon.com/dp/TVPROD0004,No,28
TVPROD0005,"Sony 40"" 4K UHD Smart LED TV with WebOS",Sony,TV,338.94,4.9,6405,https://www.amazon.com/dp/TVPROD0005,No,40
TVPROD0006,"LG 60"" Full HD Smart LED TV with WebOS",LG,TV,817.52,4.9,8562,https://www.amazon.com/dp/TVPROD0006,No,60
TVPROD0007,"Vizio 32"" 8K UHD Smart LED TV with Roku",Vizio,TV,333.51,4.1,100,https://www.amazon.com/dp/TVPROD0007,No,32
TVPROD0008,"Sony 70"" HD Smart LED TV with Android",Sony,TV,383.29,4.8,7457,https://www.amazon.com/dp/TVPROD0008,No,70
TVPROD0009,"LG 75"" 4K UHD Smart LED TV with Fire TV",LG,TV,1132.18,4.3,4601,https://www.amazon.com/dp/TVPROD0009,No,75
TVPROD0010,"TCL 40"" Full HD Smart LED TV with WebOS",TCL,TV,814.47,4.3,2471,https://www.amazon.com/dp/TVPROD0010,No,40
TVPROD0011,"LG 40"" 4K UHD Smart LED TV with WebOS",LG,TV,741.57,4.7,2193,https://www.amazon.com/dp/TVPROD0011,Yes,40
TVPROD0012,"Sony 24"" 4K UHD Smart LED TV with Fire TV",Sony,TV,209.13,4.5,4873,https://www.amazon.com/dp/TVPROD0012,Yes,24
TVPROD0013,"Philips 55"" 4K UHD Smart LED TV with WebOS",Philips,TV,378.42,4.5,5002,https://www.amazon.com/dp/TVPROD0013,No,55
TVPROD0014,"TCL 70"" 8K UHD Smart LED TV with WebOS",TCL,TV,750.92,4.4,5871,https://www.amazon.com/dp/TVPROD0014,Yes,70
TVPROD0015,"Sony 40"" 8K UHD Smart LED TV with Roku",Sony,TV,829.06,4.3,9696,https://www.amazon.com/dp/TVPROD0015,Yes,40
TVPROD0016,"Insignia 85"" 8K UHD Smart LED TV with Fire TV",Insignia,TV,1412.77,4.3,5403,https://www.amazon.com/dp/TVPROD0016,Yes,85
TVPROD0017,"LG 24"" 8K UHD Smart LED TV with Android",LG,TV,187.61,4.4,2954,https://www.amazon.com/dp/TVPROD0017,Yes,24
TVPROD0018,"LG 28"" 4K UHD Smart LED TV with Roku",LG,TV,484.89,4.4,2025,https://www.amazon.com/dp/TVPROD0018,Yes,28
TVPROD0019,"Insignia 40"" 8K UHD Smart LED TV with Android",Insignia,TV,641.03,4.8,6761,https://www.amazon.com/dp/TVPROD0019,No,40
TVPROD0020,"Vizio 48"" 4K UHD Smart LED TV with Android",Vizio,TV,1036.14,4.1,7468,https://www.amazon.com/dp/TVPROD0020,No,48
TVPROD0021,"LG 60"" Full HD Smart LED TV with Roku",LG,TV,1049.32,4.3,3003,https://www.amazon.com/dp/TVPROD0021,Yes,60
TVPROD0022,"Hisense 50"" Full HD Smart LED TV with Roku",Hisense,TV,752.91,4.4,3877,https://www.amazon.com/dp/TVPROD0022,Yes,50
TVPROD0023,"Vizio 60"" 8K UHD Smart LED TV with Tizen",Vizio,TV,339.33,4.5,3701,https://www.amazon.com/dp/TVPROD0023,Yes,60
TVPROD0024,"Insignia 24"" 8K UHD Smart LED TV with Roku",Insignia,TV,247.19,4.6,3991,https://www.amazon.com/dp/TVPROD0024,No,24
TVPROD0025,"LG 70"" 4K UHD Smart LED TV with Android",LG,TV,1399.2,4.6,6820,https://www.amazon.com/dp/TVPROD0025,No,70
TVPROD0026,"Philips 40"" 8K UHD Smart LED TV with Android",Philips,TV,204.35,4.8,3219,https://www.amazon.com/dp/TVPROD0026,No,40
TVPROD0027,"TCL 50"" Full HD Smart LED TV with Android",TCL,TV,340.41,4.5,3869,https://www.amazon.com/dp/TVPROD0027,Yes,50
TVPROD0028,"Panasonic 55"" HD Smart LED TV with Android",Panasonic,TV,441.29,4.7,3623,https://www.amazon.com/dp/TVPROD0028,No,55
TVPROD0029,"TCL 75"" 8K UHD Smart LED TV with Tizen",TCL,TV,763.36,4.5,8319,https://www.amazon.com/dp/TVPROD0029,Yes,75
TVPROD0030,"Panasonic 40"" HD Smart LED TV with Android",Panasonic,TV,374.09,4.2,4922,https://www.amazon.com/dp/TVPROD0030,Yes,40
TVPROD0031,"Panasonic 48"" 8K UHD Smart LED TV with Tizen",Panasonic,TV,349.67,4.5,6775,https://www.amazon.com/dp/TVPROD0031,Yes,48
TVPROD0032,"Samsung 50"" 4K UHD Smart LED TV with Tizen",Samsung,TV,844.52,4.4,6934,https://www.amazon.com/dp/TVPROD0032,No,50
TVPROD0033,"TCL 65"" Full HD Smart LED TV with WebOS",TCL,TV,484.91,4.7,1133,https://www.amazon.com/dp/TVPROD0033,Yes,65
TVPROD0034,"Samsung 50"" 4K UHD Smart LED TV with WebOS",Samsung,TV,974.82,4.3,4279,https://www.amazon.com/dp/TVPROD0034,No,50
TVPROD0035,"Vizio 85"" 8K UHD Smart LED TV with Android",Vizio,TV,990.86,4.1,4164,https://www.amazon.com/dp/TVPROD0035,Yes,85
TVPROD0036,"Vizio 43"" 4K UHD Smart LED TV with Fire TV",Vizio,TV,377.94,4.2,7163,https://www.amazon.com/dp/TVPROD0036,No,43
TVPROD0037,"Insignia 24"" HD Smart LED TV with Tizen",Insignia,TV,424.2,4.2,6529,https://www.amazon.com/dp/TVPROD0037,Yes,24
TVPROD0038,"Hisense 24"" HD Smart LED TV with Fire TV",Hisense,TV,416.81,4.7,1644,https://www.amazon.com/dp/TVPROD0038,No,24
TVPROD0039,"Vizio 40"" 4K UHD Smart LED TV with Tizen",Vizio,TV,368.49,4.8,3688,https://www.amazon.com/dp/TVPROD0039,No,40
